Date,Open,High,Low,Close,Volume
1/3/2011,9.971156396,10.11262161,9.946660507,10.09149361,445138400
1/4/2011,10.1793721,10.18120935,10.04801139,10.14415932,309080800
1/5/2011,10.09088117,10.23755153,10.08934972,10.22714043,255519600
1/6/2011,10.24918838,10.26541704,10.19346,10.21887493,300428800
1/7/2011,10.22683767,10.29910134,10.16284123,10.29205894,311931200
1/10/2011,10.37503854,10.50976719,10.3242095,10.48588371,448560000
1/11/2011,10.56029073,10.56273958,10.3946354,10.4610815,444108000
1/12/2011,10.51037827,10.54650928,10.47210257,10.54620266,302590400
1/13/2011,10.56886151,10.6141796,10.52874938,10.58478355,296780400
1/14/2011,10.59121285,10.67051888,10.5468138,10.67051888,308840000
1/18/2011,10.08996247,10.55661413,9.982179414,10.43076515,1880998000
1/19/2011,10.66654016,10.67419579,10.31532802,10.37534332,1135612800
1/20/2011,10.30154725,10.35880707,10.10833398,10.1867218,764789200
1/21/2011,10.22009959,10.25408836,10.00147135,10.00422764,754401200
1/24/2011,10.00881926,10.33278084,10.00422572,10.33278084,574683200
1/25/2011,10.29848625,10.45495528,10.24459432,10.45372963,546868000
1/26/2011,10.50149729,10.58233478,10.45679244,10.52874947,506875600
1/27/2011,10.52660782,10.55447242,10.4975192,10.50915432,285026000
1/28/2011,10.53854989,10.54559228,10.21275101,10.29144382,592057200
1/31/2011,10.2822564,10.41208648,10.23632671,10.39003944,377246800
2/1/2011,10.45066641,10.58386354,10.44086773,10.56487942,426633200
2/2/2011,10.5471263,10.57162139,10.5195675,10.54314518,258955200
2/3/2011,10.52721977,10.54069296,10.36646379,10.51619625,393797600
2/4/2011,10.52231781,10.61601607,10.51833751,10.60989189,321840400
2/7/2011,10.65245809,10.81658199,10.64480328,10.77463341,485021600
2/8/2011,10.82974441,10.88608519,10.78289569,10.87628651,381040800
2/9/2011,10.87598269,10.99264621,10.86618482,10.96692467,482745200
2/10/2011,10.94335124,11.02326972,10.65582636,10.85608292,928550000
2/11/2011,10.86250901,10.95589983,10.82545815,10.92681122,367572800
2/14/2011,10.92497563,11.00734295,10.92252596,10.9981575,310416400
2/15/2011,10.99846507,11.02234937,10.94824845,11.0202055,284174800
2/16/2011,11.04775816,11.17330129,11.03857271,11.11910439,481157600
2/17/2011,10.93906168,11.03153431,10.91670803,10.97121239,530583200
2/18/2011,10.983766,11.00795609,10.7023662,10.73421192,816057200
2/22/2011,10.47669303,10.57620883,10.34104622,10.36829758,872555600
2/23/2011,10.37320226,10.55294157,10.3683021,10.49108982,671854400
2/24/2011,10.533957,10.56855737,10.36095267,10.49904919,499900800
2/25/2011,10.57192475,10.66899092,10.55783997,10.66072369,380018800
2/28/2011,10.75503244,10.87169513,10.75135793,10.81535435,403074000
3/1/2011,10.88455676,10.89221157,10.64602539,10.6959362,456136800
3/2/2011,10.71583819,10.85026099,10.66807043,10.78197765,602590800
3/3/2011,10.93722194,11.01683377,10.89833383,11.00979137,500788400
3/4/2011,11.0254108,11.03214739,10.95437198,11.02326775,453266800
3/7/2011,11.06613459,11.07440264,10.75717762,10.88118935,546123200
3/8/2011,10.86741099,10.94365578,10.78596106,10.89343834,356316800
3/9/2011,10.86066889,10.86281276,10.73543319,10.79269218,453306000
3/10/2011,10.69011712,10.7100211,10.56090026,10.615098,507539200
3/11/2011,10.57406872,10.78810423,10.56396505,10.77799892,471080400
3/14/2011,10.8144358,10.91548308,10.7571768,10.82607174,435957200
3/15/2011,10.47516482,10.6509246,10.41392469,10.57713032,721081200
3/16/2011,10.47210181,10.50272187,9.990139767,10.10496521,1162011200
3/17/2011,10.31379612,10.39892054,10.12486977,10.24673843,659422400
